지점,지점명,일시,평균기온(°C)
108,서울,2026-05-01,17.8
108,서울,2026-05-02,17.3
108,서울,2026-05-03,13
108,서울,2026-05-04,13.7
108,서울,2026-05-05,14.5
108,서울,2026-05-06,16.9
108,서울,2026-05-07,15.4
108,서울,2026-05-08,15.2
108,서울,2026-05-09,15.9
108,서울,2026-05-10,17.1
108,서울,2026-05-11,16.8
108,서울,2026-05-12,19.1
108,서울,2026-05-13,19.7
108,서울,2026-05-14,23.5
108,서울,2026-05-15,24.2
108,서울,2026-05-16,23.1
108,서울,2026-05-17,22.6
108,서울,2026-05-18,23
108,서울,2026-05-19,22.1
108,서울,2026-05-20,16.9
108,서울,2026-05-21,17
108,서울,2026-05-22,20.6
108,서울,2026-05-23,19.2
108,서울,2026-05-24,22.1
108,서울,2026-05-25,24.4
108,서울,2026-05-26,24.9
108,서울,2026-05-27,22.3
108,서울,2026-05-28,20.9
108,서울,2026-05-29,21.5
108,서울,2026-05-30,22.5
108,서울,2026-05-31,24.3
