날짜,순위,영화명,개봉일,일일관객수,누적관객수,일일매출액
20250101,1,하얼빈,2024-12-24,340484,3095720,3290065760
20250101,2,보고타: 마지막 기회의 땅,2024-12-31,93154,194095,880276910
20250101,3,소방관,2024-12-04,80830,3398126,769063260
20250101,4,수퍼 소닉3,2025-01-01,75916,97373,705207940
20250101,5,뽀로로 극장판 바닷속 대모험,2025-01-01,58882,92837,512345060
20250101,6,무파사: 라이온 킹,2024-12-18,41753,698398,394659080
20250101,7,모아나 2,2024-11-27,35255,3408070,337172520
20250101,8,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,28292,596017,266817380
20250101,9,위키드,2024-11-20,20527,2079690,206796180
20250101,10,시빌 워: 분열의 시대,2024-12-31,17822,40589,192154650
20250102,1,하얼빈,2024-12-24,92862,3188582,850528040
20250102,2,보고타: 마지막 기회의 땅,2024-12-31,25303,219398,222931920
20250102,3,소방관,2024-12-04,24580,3422706,224353000
20250102,4,뽀로로 극장판 바닷속 대모험,2025-01-01,17857,110694,146678420
20250102,5,수퍼 소닉3,2025-01-01,11618,108991,104062890
20250102,6,무파사: 라이온 킹,2024-12-18,8664,707062,75023640
20250102,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,8463,604480,78629440
20250102,8,시빌 워: 분열의 시대,2024-12-31,8095,48684,82693800
20250102,9,모아나 2,2024-11-27,7061,3415131,64737260
20250102,10,위키드,2024-11-20,6632,2086322,64480080
20250103,1,하얼빈,2024-12-24,91398,3279980,869700750
20250103,2,소방관,2024-12-04,26722,3449428,256082380
20250103,3,보고타: 마지막 기회의 땅,2024-12-31,21203,240601,198105460
20250103,4,뽀로로 극장판 바닷속 대모험,2025-01-01,17142,127836,145127220
20250103,5,수퍼 소닉3,2025-01-01,11144,120135,104172900
20250103,6,무파사: 라이온 킹,2024-12-18,8896,715958,80004860
20250103,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,8568,613048,81609720
20250103,8,시빌 워: 분열의 시대,2024-12-31,8242,56926,86698500
20250103,9,모아나 2,2024-11-27,7494,3422625,70988920
20250103,10,위키드,2024-11-20,7486,2093808,74829940
20250104,1,하얼빈,2024-12-24,218542,3498522,2140702910
20250104,2,소방관,2024-12-04,55117,3504545,529248680
20250104,3,보고타: 마지막 기회의 땅,2024-12-31,45091,285692,431379240
20250104,4,수퍼 소닉3,2025-01-01,42122,162257,386163580
20250104,5,뽀로로 극장판 바닷속 대모험,2025-01-01,34876,162712,299126140
20250104,6,무파사: 라이온 킹,2024-12-18,21325,737283,201034480
20250104,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,18193,631241,172179500
20250104,8,모아나 2,2024-11-27,16392,3439017,158530460
20250104,9,위키드,2024-11-20,14771,2108579,150394230
20250104,10,시빌 워: 분열의 시대,2024-12-31,13723,70649,144598400
20250105,1,하얼빈,2024-12-24,174400,3672922,1698746070
20250105,2,소방관,2024-12-04,47406,3551951,460626940
20250105,3,보고타: 마지막 기회의 땅,2024-12-31,36860,322552,356269140
20250105,4,수퍼 소닉3,2025-01-01,36677,198934,335096180
20250105,5,뽀로로 극장판 바닷속 대모험,2025-01-01,31687,194399,270555320
20250105,6,무파사: 라이온 킹,2024-12-18,19696,756979,185978880
20250105,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,16340,647581,155174100
20250105,8,모아나 2,2024-11-27,14830,3453847,144271780
20250105,9,위키드,2024-11-20,10447,2119026,106200350
20250105,10,시빌 워: 분열의 시대,2024-12-31,9724,80373,103897720
20250106,1,하얼빈,2024-12-24,56908,3729830,532981000
20250106,2,소방관,2024-12-04,17418,3569369,161466400
20250106,3,보고타: 마지막 기회의 땅,2024-12-31,14063,336615,124658000
20250106,4,뽀로로 극장판 바닷속 대모험,2025-01-01,7298,201697,60398520
20250106,5,수퍼 소닉3,2025-01-01,6056,204990,54945720
20250106,6,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,5507,653088,51324620
20250106,7,무파사: 라이온 킹,2024-12-18,5375,762354,47242120
20250106,8,위키드,2024-11-20,4946,2123972,46735630
20250106,9,모아나 2,2024-11-27,4614,3458461,42458640
20250106,10,시빌 워: 분열의 시대,2024-12-31,4433,84806,43523100
20250107,1,하얼빈,2024-12-24,49163,3778993,455178880
20250107,2,소방관,2024-12-04,16456,3585825,153547120
20250107,3,보고타: 마지막 기회의 땅,2024-12-31,11178,347793,99405800
20250107,4,뽀로로 극장판 바닷속 대모험,2025-01-01,7245,208942,56752520
20250107,5,수퍼 소닉3,2025-01-01,7062,212052,61920140
20250107,6,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,5885,658973,54117960
20250107,7,무파사: 라이온 킹,2024-12-18,4761,767115,41713280
20250107,8,모아나 2,2024-11-27,4726,3463187,43483800
20250107,9,위키드,2024-11-20,4386,2128358,42934800
20250107,10,시빌 워: 분열의 시대,2024-12-31,3576,88382,37640800
20250108,1,하얼빈,2024-12-24,48571,3827564,450021500
20250108,2,동화지만 청불입니다,2025-01-08,20410,21851,178183680
20250108,3,소방관,2024-12-04,14277,3600102,132918500
20250108,4,페라리,2025-01-08,10489,11097,94027400
20250108,5,보고타: 마지막 기회의 땅,2024-12-31,8410,356203,72624900
20250108,6,뽀로로 극장판 바닷속 대모험,2025-01-01,6424,215366,50676300
20250108,7,데드데드 데몬즈 디디디디 디스트럭션: 파트1,2025-01-08,5620,7025,43130100
20250108,8,수퍼 소닉3,2025-01-01,5390,217442,46123840
20250108,9,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,4955,663928,45166800
20250108,10,러브레터,1999-11-20,4598,192218,39798440
20250109,1,하얼빈,2024-12-24,44838,3872402,417467020
20250109,2,동화지만 청불입니다,2025-01-08,14350,36201,128839600
20250109,3,소방관,2024-12-04,14054,3614156,131254600
20250109,4,뽀로로 극장판 바닷속 대모험,2025-01-01,6501,221867,50356500
20250109,5,보고타: 마지막 기회의 땅,2024-12-31,6104,362307,53290920
20250109,6,수퍼 소닉3,2025-01-01,5257,222699,45258080
20250109,7,페라리,2025-01-08,5183,16280,47004900
20250109,8,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,4645,668573,41649800
20250109,9,무파사: 라이온 킹,2024-12-18,4330,775466,38701180
20250109,10,위키드,2024-11-20,4082,2136433,45006940
20250110,1,하얼빈,2024-12-24,54928,3927330,528475680
20250110,2,소방관,2024-12-04,17448,3631604,168938860
20250110,3,동화지만 청불입니다,2025-01-08,15535,51736,144265400
20250110,4,뽀로로 극장판 바닷속 대모험,2025-01-01,7065,228932,55065900
20250110,5,보고타: 마지막 기회의 땅,2024-12-31,7035,369342,63674600
20250110,6,수퍼 소닉3,2025-01-01,6086,228785,54623360
20250110,7,위키드,2024-11-20,5492,2141925,62833960
20250110,8,무파사: 라이온 킹,2024-12-18,5392,780858,47897920
20250110,9,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,5114,673687,48580120
20250110,10,페라리,2025-01-08,4553,20833,44067500
20250111,1,하얼빈,2024-12-24,134688,4062018,1328543400
20250111,2,소방관,2024-12-04,37603,3669207,361251200
20250111,3,동화지만 청불입니다,2025-01-08,27675,79411,263205920
20250111,4,뽀로로 극장판 바닷속 대모험,2025-01-01,24741,253673,218732300
20250111,5,수퍼 소닉3,2025-01-01,24351,253136,223718220
20250111,6,보고타: 마지막 기회의 땅,2024-12-31,14127,383469,136820140
20250111,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,13574,687261,128833900
20250111,8,무파사: 라이온 킹,2024-12-18,13006,793864,124186520
20250111,9,위키드,2024-11-20,11494,2153419,131325530
20250111,10,모아나 2,2024-11-27,9777,3485095,94069760
20250112,1,하얼빈,2024-12-24,118374,4180392,1165698080
20250112,2,소방관,2024-12-04,33764,3702971,326411300
20250112,3,뽀로로 극장판 바닷속 대모험,2025-01-01,24340,278013,217551720
20250112,4,수퍼 소닉3,2025-01-01,23722,276858,217733480
20250112,5,동화지만 청불입니다,2025-01-08,22356,101767,210813480
20250112,6,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,13779,701040,129988000
20250112,7,무파사: 라이온 킹,2024-12-18,12969,806833,123180600
20250112,8,보고타: 마지막 기회의 땅,2024-12-31,12818,396287,124944620
20250112,9,모아나 2,2024-11-27,10191,3495286,98356920
20250112,10,위키드,2024-11-20,9930,2163349,111445030
20250113,1,하얼빈,2024-12-24,37257,4217649,361876120
20250113,2,소방관,2024-12-04,11710,3714681,110048100
20250113,3,동화지만 청불입니다,2025-01-08,7037,108804,64872200
20250113,4,보고타: 마지막 기회의 땅,2024-12-31,5401,401688,46524400
20250113,5,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,3899,704939,36226700
20250113,6,수퍼 소닉3,2025-01-01,3672,280530,32720920
20250113,7,위키드,2024-11-20,3414,2166763,32888220
20250113,8,서브스턴스,2024-12-11,3245,208398,30989900
20250113,9,뽀로로 극장판 바닷속 대모험,2025-01-01,3190,281203,25772400
20250113,10,모아나 2,2024-11-27,2768,3498054,24220680
20250114,1,하얼빈,2024-12-24,32625,4250274,312019580
20250114,2,소방관,2024-12-04,10911,3725592,101013700
20250114,3,동화지만 청불입니다,2025-01-08,8478,117282,75822100
20250114,4,뽀로로 극장판 바닷속 대모험,2025-01-01,5060,286263,37032900
20250114,5,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,4029,708968,37328900
20250114,6,보고타: 마지막 기회의 땅,2024-12-31,3884,405572,33876020
20250114,7,수퍼 소닉3,2025-01-01,3882,284412,34242740
20250114,8,위키드,2024-11-20,3204,2169967,30618760
20250114,9,서브스턴스,2024-12-11,3195,211593,30509500
20250114,10,모아나 2,2024-11-27,3065,3501119,27590520
20250115,1,하얼빈,2024-12-24,31895,4282169,294365980
20250115,2,소방관,2024-12-04,10761,3736353,100532600
20250115,3,동화지만 청불입니다,2025-01-08,6328,123610,57475700
20250115,4,서브스턴스,2024-12-11,6122,217715,56274420
20250115,5,폭락,2025-01-15,4675,5449,40515700
20250115,6,뽀로로 극장판 바닷속 대모험,2025-01-01,4247,290510,31194300
20250115,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,4217,713185,37169600
20250115,8,노스페라투,2025-01-15,3822,4948,37638400
20250115,9,해리 포터와 죽음의 성물2,2011-07-13,3651,4425149,39842000
20250115,10,수퍼 소닉3,2025-01-01,3586,287998,30397880
20250116,1,하얼빈,2024-12-24,31286,4313455,290317040
20250116,2,소방관,2024-12-04,10056,3746409,94051800
20250116,3,동화지만 청불입니다,2025-01-08,6341,129951,56734600
20250116,4,서브스턴스,2024-12-11,5524,223239,51799600
20250116,5,뽀로로 극장판 바닷속 대모험,2025-01-01,4422,294932,31105300
20250116,6,수퍼 소닉3,2025-01-01,3824,291822,31709080
20250116,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,3659,716844,33446700
20250116,8,위키드,2024-11-20,3130,2176365,29499530
20250116,9,폭락,2025-01-15,3108,8557,26540300
20250116,10,모아나 2,2024-11-27,2575,3506095,22782560
20250117,1,하얼빈,2024-12-24,36634,4350089,351781760
20250117,2,소방관,2024-12-04,12505,3758914,118051800
20250117,3,서브스턴스,2024-12-11,7381,230620,71139800
20250117,4,동화지만 청불입니다,2025-01-08,5934,135885,56425700
20250117,5,뽀로로 극장판 바닷속 대모험,2025-01-01,4489,299421,33107400
20250117,6,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,4325,721169,40163500
20250117,7,위키드,2024-11-20,3697,2180062,36803300
20250117,8,수퍼 소닉3,2025-01-01,3491,295313,31358960
20250117,9,폭락,2025-01-15,3245,11802,29470900
20250117,10,모아나 2,2024-11-27,3025,3509120,27210400
20250118,1,하얼빈,2024-12-24,79205,4429294,771331860
20250118,2,소방관,2024-12-04,24839,3783753,241868900
20250118,3,수퍼 소닉3,2025-01-01,13588,308901,122827100
20250118,4,뽀로로 극장판 바닷속 대모험,2025-01-01,13582,313003,121541700
20250118,5,서브스턴스,2024-12-11,13070,243690,128581060
20250118,6,동화지만 청불입니다,2025-01-08,12074,147959,120063020
20250118,7,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,10730,731899,101370900
20250118,8,위키드,2024-11-20,8045,2188107,80898380
20250118,9,무파사: 라이온 킹,2024-12-18,7494,826544,71677920
20250118,10,모아나 2,2024-11-27,6598,3515718,64234560
20250119,1,하얼빈,2024-12-24,66404,4495698,647044080
20250119,2,소방관,2024-12-04,22383,3806136,217849300
20250119,3,뽀로로 극장판 바닷속 대모험,2025-01-01,13589,326592,121197320
20250119,4,수퍼 소닉3,2025-01-01,13199,322100,119845220
20250119,5,서브스턴스,2024-12-11,10851,254541,107412860
20250119,6,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,10667,742566,101472040
20250119,7,동화지만 청불입니다,2025-01-08,9657,157616,95999320
20250119,8,무파사: 라이온 킹,2024-12-18,7288,833832,69164960
20250119,9,위키드,2024-11-20,7058,2195165,70380670
20250119,10,모아나 2,2024-11-27,6799,3522517,66257740
20250120,1,하얼빈,2024-12-24,21819,4517517,205584030
20250120,2,검은 수녀들,2025-01-24,8738,8738,80910000
20250120,3,소방관,2024-12-04,7697,3813833,72287100
20250120,4,서브스턴스,2024-12-11,5673,260214,53424900
20250120,5,동화지만 청불입니다,2025-01-08,4150,161766,38012900
20250120,6,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2929,745495,27299700
20250120,7,위키드,2024-11-20,2471,2197636,23401460
20250120,8,수퍼 소닉3,2025-01-01,2325,324425,19700800
20250120,9,뽀로로 극장판 바닷속 대모험,2025-01-01,1842,328434,14548100
20250120,10,모아나 2,2024-11-27,1710,3524227,16057360
20250121,1,하얼빈,2024-12-24,21270,4538787,198587700
20250121,2,소방관,2024-12-04,7464,3821297,69961600
20250121,3,서브스턴스,2024-12-11,5587,265801,52978900
20250121,4,검은 수녀들,2025-01-24,3168,11906,28512000
20250121,5,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,3018,748513,27823000
20250121,6,위키드,2024-11-20,2728,2200364,26811660
20250121,7,뽀로로 극장판 바닷속 대모험,2025-01-01,2650,331084,19426600
20250121,8,수퍼 소닉3,2025-01-01,2430,326855,21118320
20250121,9,동화지만 청불입니다,2025-01-08,2398,164164,22974420
20250121,10,모아나 2,2024-11-27,2156,3526383,18608680
20250122,1,히트맨2,2025-01-22,100621,103989,916194740
20250122,2,하얼빈,2024-12-24,15691,4554478,147000600
20250122,3,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,12329,12970,105625380
20250122,4,서브스턴스,2024-12-11,5657,271458,53743280
20250122,5,소방관,2024-12-04,4591,3825888,43366800
20250122,6,뽀로로 극장판 바닷속 대모험,2025-01-01,2474,333558,17515000
20250122,7,고스트캣 앙주,2025-01-22,2285,4161,18164100
20250122,8,위키드,2024-11-20,2160,2202524,20779340
20250122,9,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,1843,750356,17037300
20250122,10,꼬마 판다 팡의 아프리카 대모험,2025-01-22,1729,3143,12133400
20250123,1,히트맨2,2025-01-22,75696,179685,692207940
20250123,2,하얼빈,2024-12-24,14910,4569388,139350180
20250123,3,서브스턴스,2024-12-11,5782,277240,54623400
20250123,4,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,5631,18601,47757200
20250123,5,검은 수녀들,2025-01-24,5581,17657,49949000
20250123,6,소방관,2024-12-04,4338,3830226,40857020
20250123,7,위키드,2024-11-20,2275,2204799,22124360
20250123,8,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,1882,752238,16766300
20250123,9,해리 포터와 죽음의 성물2,2011-07-13,1829,4443440,20000400
20250123,10,더 폴: 디렉터스 컷,2024-12-25,1593,74081,15631900
20250124,1,검은 수녀들,2025-01-24,163727,181384,1558782820
20250124,2,히트맨2,2025-01-22,69250,248935,657240060
20250124,3,아이유 콘서트 : 더 위닝,2025-01-24,12500,12500,346528000
20250124,4,하얼빈,2024-12-24,10531,4579919,100524900
20250124,5,귀신경찰,2025-01-24,6049,8673,51374060
20250124,6,서브스턴스,2024-12-11,5518,282758,53994100
20250124,7,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,4807,23408,42117200
20250124,8,대가족,2024-12-11,2354,324530,19128700
20250124,9,소방관,2024-12-04,1952,3832178,18693200
20250124,10,더 폴: 디렉터스 컷,2024-12-25,1520,75601,15437200
20250125,1,검은 수녀들,2025-01-24,217527,398911,2129414800
20250125,2,히트맨2,2025-01-22,157064,405999,1496126040
20250125,3,하얼빈,2024-12-24,27436,4607355,272208200
20250125,4,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,21460,44868,191645800
20250125,5,서브스턴스,2024-12-11,9754,292512,97886420
20250125,6,아이유 콘서트 : 더 위닝,2025-01-24,8182,20682,225461000
20250125,7,귀신경찰,2025-01-24,6795,15468,59203500
20250125,8,뽀로로 극장판 바닷속 대모험,2025-01-01,6299,342389,57287920
20250125,9,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,4245,757955,39790600
20250125,10,소방관,2024-12-04,4011,3836189,38430720
20250126,1,검은 수녀들,2025-01-24,207234,606145,2019647840
20250126,2,히트맨2,2025-01-22,198876,604875,1894912340
20250126,3,하얼빈,2024-12-24,34860,4642215,338233020
20250126,4,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,19717,64585,175836580
20250126,5,서브스턴스,2024-12-11,10358,302870,102525100
20250126,6,아이유 콘서트 : 더 위닝,2025-01-24,7379,28061,206078000
20250126,7,뽀로로 극장판 바닷속 대모험,2025-01-01,7208,349597,66294320
20250126,8,귀신경찰,2025-01-24,6481,21949,57883420
20250126,9,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,4940,762895,47134140
20250126,10,수퍼 소닉3,2025-01-01,4515,339618,42436840
20250127,1,히트맨2,2025-01-22,189778,794653,1808351980
20250127,2,검은 수녀들,2025-01-24,162437,768582,1575451100
20250127,3,말할 수 없는 비밀,2025-01-27,50389,52674,471462340
20250127,4,하얼빈,2024-12-24,27105,4669320,259256100
20250127,5,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,16355,80940,145190180
20250127,6,서브스턴스,2024-12-11,9603,312473,96390900
20250127,7,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,7030,7190,65741900
20250127,8,뽀로로 극장판 바닷속 대모험,2025-01-01,6984,356581,63813680
20250127,9,귀신경찰,2025-01-24,4006,25955,36255100
20250127,10,꼬마 판다 팡의 아프리카 대모험,2025-01-22,3596,16484,32488500
20250128,1,히트맨2,2025-01-22,199686,994339,1923121560
20250128,2,검은 수녀들,2025-01-24,130861,899443,1307314200
20250128,3,말할 수 없는 비밀,2025-01-27,41682,94356,412077140
20250128,4,하얼빈,2024-12-24,34774,4704094,339019600
20250128,5,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,10705,91645,96259280
20250128,6,서브스턴스,2024-12-11,8613,321086,86657800
20250128,7,뽀로로 극장판 바닷속 대모험,2025-01-01,5318,361899,48597000
20250128,8,귀신경찰,2025-01-24,4327,30282,39943800
20250128,9,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,3955,11145,37759500
20250128,10,위키드,2024-11-20,3402,2218291,35568170
20250129,1,히트맨2,2025-01-22,272151,1266490,2631819440
20250129,2,검은 수녀들,2025-01-24,143097,1042540,1418478500
20250129,3,하얼빈,2024-12-24,52872,4756966,518248720
20250129,4,말할 수 없는 비밀,2025-01-27,40645,135001,402848000
20250129,5,서브스턴스,2024-12-11,9292,330378,93759700
20250129,6,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,8840,100485,80889800
20250129,7,귀신경찰,2025-01-24,5439,35721,51373900
20250129,8,아이유 콘서트 : 더 위닝,2025-01-24,5359,39411,143708000
20250129,9,뽀로로 극장판 바닷속 대모험,2025-01-01,4075,365974,37975600
20250129,10,위키드,2024-11-20,3525,2221816,36093830
20250130,1,히트맨2,2025-01-22,251495,1517985,2388273200
20250130,2,검은 수녀들,2025-01-24,143948,1186488,1412324480
20250130,3,말할 수 없는 비밀,2025-01-27,56798,191799,551935980
20250130,4,하얼빈,2024-12-24,44918,4801884,429671420
20250130,5,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,15680,116165,140290100
20250130,6,서브스턴스,2024-12-11,11492,341870,114139000
20250130,7,뽀로로 극장판 바닷속 대모험,2025-01-01,8147,374121,74796120
20250130,8,귀신경찰,2025-01-24,6646,42367,59472500
20250130,9,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,5677,20151,53493100
20250130,10,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,4769,776977,44640200
20250131,1,히트맨2,2025-01-22,136443,1654428,1138265440
20250131,2,검은 수녀들,2025-01-24,81309,1267797,687669780
20250131,3,말할 수 없는 비밀,2025-01-27,43494,235293,357329460
20250131,4,하얼빈,2024-12-24,21915,4823799,186564800
20250131,5,서브스턴스,2024-12-11,11442,353312,93969900
20250131,6,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,6450,122615,55624520
20250131,7,아이유 콘서트 : 더 위닝,2025-01-24,2631,46405,70987500
20250131,8,뽀로로 극장판 바닷속 대모험,2025-01-01,2473,376594,21234900
20250131,9,더 폴: 디렉터스 컷,2024-12-25,2289,92389,18828800
20250131,10,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2109,779086,18465300
20250201,1,히트맨2,2025-01-22,177129,1831557,1663433100
20250201,2,검은 수녀들,2025-01-24,96041,1363838,934854220
20250201,3,말할 수 없는 비밀,2025-01-27,63000,298293,612619860
20250201,4,하얼빈,2024-12-24,23292,4847091,221246880
20250201,5,서브스턴스,2024-12-11,15031,368343,148098060
20250201,6,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,12342,134957,108039420
20250201,7,뽀로로 극장판 바닷속 대모험,2025-01-01,5903,382497,53373900
20250201,8,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,4570,26386,42966600
20250201,9,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,3801,782887,35361920
20250201,10,아이유 콘서트 : 더 위닝,2025-01-24,3156,49561,85348500
20250202,1,히트맨2,2025-01-22,137171,1968728,1297934140
20250202,2,검은 수녀들,2025-01-24,66545,1430383,652674860
20250202,3,말할 수 없는 비밀,2025-01-27,54367,352660,534483240
20250202,4,하얼빈,2024-12-24,16025,4863116,152422000
20250202,5,서브스턴스,2024-12-11,11540,379883,114115500
20250202,6,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,11412,146369,100513360
20250202,7,뽀로로 극장판 바닷속 대모험,2025-01-01,5903,388400,52742420
20250202,8,아이유 콘서트 : 더 위닝,2025-01-24,5372,54933,153613500
20250202,9,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,4245,30631,39591800
20250202,10,극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,3883,786770,36600000
20250203,1,히트맨2,2025-01-22,42293,2011021,392238820
20250203,2,검은 수녀들,2025-01-24,27623,1458006,254610780
20250203,3,말할 수 없는 비밀,2025-01-27,20026,372686,183992260
20250203,4,서브스턴스,2024-12-11,6296,386179,60530900
20250203,5,하얼빈,2024-12-24,5453,4868569,50734600
20250203,6,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,1553,147922,13329100
20250203,7,더 폴: 디렉터스 컷,2024-12-25,1276,99268,12341800
20250203,8,아이유 콘서트 : 더 위닝,2025-01-24,1270,56203,34035000
20250203,9,위키드,2024-11-20,858,2233786,8067600
20250203,10,죽은 시인의 사회,1990-05-19,854,74095,8189800
20250204,1,히트맨2,2025-01-22,38667,2049688,358763700
20250204,2,검은 수녀들,2025-01-24,24747,1482753,227848180
20250204,3,말할 수 없는 비밀,2025-01-27,21192,393878,190460760
20250204,4,서브스턴스,2024-12-11,5586,391765,54159300
20250204,5,하얼빈,2024-12-24,5096,4873665,46970100
20250204,6,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,1953,149875,16285000
20250204,7,아이유 콘서트 : 더 위닝,2025-01-24,1415,57618,37769000
20250204,8,뽀로로 극장판 바닷속 대모험,2025-01-01,1199,390371,8766400
20250204,9,더 폴: 디렉터스 컷,2024-12-25,1172,100440,11376100
20250204,10,꼬마 판다 팡의 아프리카 대모험,2025-01-22,1112,29036,6730700
20250205,1,브로큰,2025-02-05,42561,44115,376594860
20250205,2,히트맨2,2025-01-22,33533,2083221,305762480
20250205,3,말할 수 없는 비밀,2025-01-27,22311,416189,201095860
20250205,4,검은 수녀들,2025-01-24,18675,1501428,173157300
20250205,5,서브스턴스,2024-12-11,4990,396755,47886200
20250205,6,하얼빈,2024-12-24,3392,4877057,30906640
20250205,7,극장판 쿠로코의 농구 라스트 게임,2017-04-27,2654,66631,25297800
20250205,8,데드데드 데몬즈 디디디디 디스트럭션: 파트2,2025-02-05,2124,3045,15949800
20250205,9,더 폴: 디렉터스 컷,2024-12-25,1963,102403,22241400
20250205,10,"레드벨벳 해피니스 다이어리 : 마이 디어, 레베럽 인 시네마",2025-02-05,1791,1791,44775000
20250206,1,히트맨2,2025-01-22,31319,2114540,286603200
20250206,2,브로큰,2025-02-05,22618,66733,203142960
20250206,3,말할 수 없는 비밀,2025-01-27,20051,436240,183449100
20250206,4,검은 수녀들,2025-01-24,15350,1516778,143297060
20250206,5,서브스턴스,2024-12-11,5217,401972,49809900
20250206,6,하얼빈,2024-12-24,3166,4880223,28853300
20250206,7,더 폴: 디렉터스 컷,2024-12-25,2104,104507,24750200
20250206,8,뽀로로 극장판 바닷속 대모험,2025-01-01,1753,393563,11309600
20250206,9,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,2025-02-06,1620,1703,15697160
20250206,10,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,1362,152319,11299500
20250207,1,히트맨2,2025-01-22,36069,2150609,344717000
20250207,2,말할 수 없는 비밀,2025-01-27,24167,460407,232492780
20250207,3,브로큰,2025-02-05,22775,89508,212502860
20250207,4,검은 수녀들,2025-01-24,17415,1534193,168373100
20250207,5,서브스턴스,2024-12-11,6340,408312,62522900
20250207,6,하얼빈,2024-12-24,3772,4883995,34433700
20250207,7,아이유 콘서트 : 더 위닝,2025-01-24,3190,63260,88975000
20250207,8,더 폴: 디렉터스 컷,2024-12-25,2481,106988,30174000
20250207,9,"레드벨벳 해피니스 다이어리 : 마이 디어, 레베럽 인 시네마",2025-02-05,2295,4617,57371000
20250207,10,귀신경찰,2025-01-24,1699,52612,13741100
20250208,1,히트맨2,2025-01-22,87397,2238006,837958160
20250208,2,말할 수 없는 비밀,2025-01-27,60091,520498,589983720
20250208,3,브로큰,2025-02-05,39416,128924,381276100
20250208,4,검은 수녀들,2025-01-24,36259,1570452,354461260
20250208,5,서브스턴스,2024-12-11,13039,421351,128353020
20250208,6,하얼빈,2024-12-24,6620,4890615,63914900
20250208,7,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,6131,159676,55169020
20250208,8,더 폴: 디렉터스 컷,2024-12-25,5179,112167,58708400
20250208,9,뽀로로 극장판 바닷속 대모험,2025-01-01,3892,398660,36012600
20250208,10,바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,3144,36518,27676500
